type,nanoseconds
/obj/machinery/computer/area_atmos/area,1
/obj/machinery/magnetic_controller,1
/obj/machinery/computer/atmoscontrol/gas_chamber,0
/obj/machinery/portable_atmospherics/scrubber/huge/stationary,0
/obj/machinery/magnetic_module,0
/obj/machinery/vending/magivend,1
/obj/machinery/computer/pod,3
/obj/machinery/computer/shuttle,1
/obj/machinery/computer/specops_shuttle,1
/obj/machinery/computer/card/centcom,0
/obj/machinery/telecomms/allinone,2
/obj/machinery/computer/pod/old/syndicate,0
/obj/machinery/computer/syndicate_elite_shuttle,1
/obj/machinery/bluespace_beacon,2
/obj/machinery/power/smes/magical,1
/obj/machinery/vending/sovietsoda,0
/obj/machinery/computer/pod/old,0
/obj/machinery/mommi_spawner,1
/obj/machinery/vending/engineering,0
/obj/machinery/floodlight,4
/obj/machinery/telecomms/relay/preset/ruskie,0
/obj/machinery/mineral/mint,1
/obj/machinery/mineral/processing_unit_console,1
/obj/machinery/mineral/processing_unit,3
/obj/machinery/mineral/unloading_machine,3
/obj/machinery/telecomms/relay/preset/mining,1
/obj/machinery/atmospherics/binary/volume_pump/on,1
/obj/machinery/alarm/vox,15
/obj/machinery/suspension_gen,1
/obj/machinery/artifact_analyser,1
/obj/machinery/alarm/isolation,6
/obj/machinery/artifact_harvester,3
/obj/machinery/anomaly/fourier_transform,1
/obj/machinery/anomaly/hyperspectral,2
/obj/machinery/anomaly/ion_mobility,2
/obj/machinery/anomaly/gas_chromatography,6
/obj/machinery/hydroponics/soil,1
/obj/machinery/anomaly/accelerator,7
/obj/machinery/anomaly/isotope_ratio,1
/obj/machinery/singularity,413
/obj/machinery/am_shielding,0
/obj/machinery/apiary,24
/obj/machinery/computer,0
